                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68441,                 1.1261,                 2.0288,                0.96656,                 0.8806,                0.86646,                0.88665,                0.77773,                0.87911,                0.86293,                0.88129,                0.72287,                0.48043,                0.62601,                0.61592,                0.77293,              0.0033281,              0.0033281,              0.0033281
                      2,                0.57947,                0.73808,                0.74942,                0.91036,                0.91927,                0.91451,                0.94827,                0.82911,                0.92688,                0.93092,                0.96322,                0.78548,                0.45793,                0.58848,                0.48597,                0.77654,              0.0065955,              0.0065955,              0.0065955
                      3,                0.60828,                0.73826,                0.69486,                0.92201,                0.96847,                0.94759,                0.96964,                 0.8181,                0.96769,                0.94213,                0.96542,                0.77211,                0.50868,                0.61684,                0.48261,                0.80053,              0.0097969,              0.0097969,              0.0097969
                      4,                0.59823,                 0.7201,                0.64699,                0.92289,                0.91102,                0.94755,                0.96473,                0.83732,                0.91823,                0.94727,                0.96341,                 0.7886,                 0.4791,                0.59035,                0.47178,                0.79355,               0.009703,               0.009703,               0.009703
                      5,                0.55839,                 0.6788,                0.57742,                0.91271,                0.95711,                0.94786,                0.97114,                0.86092,                0.97338,                0.95278,                0.98108,                0.79553,                0.44414,                0.58175,                0.43375,                0.78749,               0.009604,               0.009604,               0.009604
                      6,                0.52285,                0.64764,                0.51906,                0.90424,                0.96521,                  0.971,                0.97661,                 0.8718,                0.97468,                0.96524,                0.97989,                0.78872,                0.41174,                0.53142,                0.36551,                0.77683,               0.009505,               0.009505,               0.009505
                      7,                0.49801,                0.61387,                0.48207,                0.89748,                0.95152,                0.97144,                0.97403,                0.88353,                0.96603,                0.97516,                0.98295,                0.80121,                 0.3979,                0.51632,                0.35152,                 0.7758,               0.009406,               0.009406,               0.009406
                      8,                 0.4857,                0.61258,                0.45873,                0.89455,                0.95814,                0.97582,                0.97516,                0.88927,                 0.9568,                0.97973,                0.98055,                0.80465,                0.38465,                 0.5292,                0.33698,                 0.7674,               0.009307,               0.009307,               0.009307
                      9,                0.46969,                0.59573,                0.43393,                0.89037,                0.96585,                0.96254,                0.96988,                0.89059,                0.98504,                0.95938,                0.97739,                0.81076,                0.36718,                0.48082,                0.32314,                0.76718,               0.009208,               0.009208,               0.009208
                     10,                0.45963,                0.58943,                0.42006,                0.89049,                0.96362,                0.96488,                0.97244,                0.90176,                0.97267,                0.97196,                0.97939,                0.81768,                0.35771,                0.48941,                 0.3135,                0.77054,               0.009109,               0.009109,               0.009109
                     11,                0.45166,                0.58189,                0.40627,                0.88695,                0.96148,                  0.969,                0.97574,                0.89646,                0.97721,                0.96266,                0.98017,                 0.8144,                0.35963,                0.47011,                0.31457,                0.76826,                0.00901,                0.00901,                0.00901
                     12,                0.43602,                0.56251,                0.39039,                0.88334,                0.97007,                0.96665,                0.97926,                 0.9085,                0.97516,                0.97091,                0.98202,                0.82108,                0.34735,                0.46812,                0.30064,                0.76204,               0.008911,               0.008911,               0.008911
                     13,                0.43137,                0.55626,                0.38128,                0.88356,                0.97797,                0.95671,                0.97497,                0.90873,                0.97603,                0.97086,                0.98219,                0.81672,                0.34318,                0.46214,                0.28818,                0.76178,               0.008812,               0.008812,               0.008812
                     14,                0.42279,                0.55537,                0.36841,                 0.8799,                0.96546,                0.97877,                0.97983,                0.91034,                0.98194,                0.96202,                0.97753,                0.81294,                0.34582,                0.47137,                0.28929,                 0.7639,               0.008713,               0.008713,               0.008713
                     15,                0.42072,                0.54204,                0.36273,                0.88052,                0.97027,                0.96942,                0.97853,                 0.9174,                0.97372,                0.96466,                0.98349,                0.82336,                0.33114,                0.45679,                0.26962,                 0.7543,               0.008614,               0.008614,               0.008614
                     16,                0.41483,                0.54457,                0.35903,                0.87815,                0.97507,                0.97214,                0.98344,                0.92226,                 0.9669,                0.97174,                0.98207,                0.82869,                0.33965,                0.45406,                0.27268,                0.76617,               0.008515,               0.008515,               0.008515
                     17,                0.40888,                0.53664,                 0.3466,                0.87644,                0.96977,                0.97145,                0.98129,                0.91926,                0.97134,                0.97113,                0.98425,                 0.8268,                0.33118,                0.45446,                0.27101,                0.76167,               0.008416,               0.008416,               0.008416
                     18,                0.40385,                0.53007,                  0.346,                0.87681,                0.96354,                0.97655,                0.97846,                0.92393,                0.97622,                0.95509,                0.97937,                0.82036,                0.31978,                 0.4562,                0.26136,                0.75913,               0.008317,               0.008317,               0.008317
                     19,                0.39882,                0.52883,                0.33657,                0.87615,                0.96701,                0.97551,                0.98325,                 0.9211,                0.96568,                 0.9737,                0.98398,                0.82387,                0.33392,                0.45331,                0.26397,                 0.7655,               0.008218,               0.008218,               0.008218
                     20,                0.39735,                0.52335,                0.33488,                0.87422,                0.96619,                0.97001,                0.97323,                0.91678,                0.97572,                0.96841,                0.97706,                 0.8196,                0.31343,                 0.4377,                0.25281,                0.75789,               0.008119,               0.008119,               0.008119
                     21,                0.39279,                0.51621,                0.33012,                0.87332,                0.96671,                0.98011,                 0.9818,                 0.9255,                0.97203,                0.96681,                0.97846,                0.82872,                0.32477,                0.45577,                0.24943,                0.76125,                0.00802,                0.00802,                0.00802
                     22,                0.38768,                 0.5183,                0.32541,                0.87275,                0.96599,                0.97128,                 0.9803,                0.92399,                 0.9682,                0.97153,                0.98182,                0.83045,                0.31958,                0.43406,                0.24616,                0.75451,               0.007921,               0.007921,               0.007921
                     23,                0.38433,                0.50817,                0.32212,                0.87166,                0.96837,                0.98543,                0.98181,                0.92484,                0.96495,                0.98019,                0.98214,                0.82647,                0.30644,                0.43562,                0.24509,                0.75188,               0.007822,               0.007822,               0.007822
                     24,                0.37984,                0.50593,                0.31791,                0.86941,                0.97049,                0.97149,                0.97892,                0.93139,                0.97687,                0.97555,                0.98563,                0.83685,                0.30125,                0.43806,                0.24429,                0.75279,               0.007723,               0.007723,               0.007723
                     25,                0.37544,                0.50133,                0.31332,                0.86856,                0.96297,                0.97739,                0.97936,                0.92969,                0.96442,                0.97631,                0.98214,                0.83272,                 0.3105,                0.44368,                0.23803,                0.75593,               0.007624,               0.007624,               0.007624
                     26,                0.37563,                0.50158,                0.31123,                0.86905,                0.96628,                0.97242,                0.97882,                0.93173,                0.96678,                0.97182,                 0.9794,                 0.8307,                0.30515,                0.42227,                0.23664,                 0.7545,               0.007525,               0.007525,               0.007525
                     27,                 0.3773,                0.50322,                0.31193,                0.86993,                0.96965,                0.97684,                0.98067,                0.93283,                0.96403,                0.97577,                0.98094,                0.83078,                0.29756,                0.42546,                0.22888,                0.74848,               0.007426,               0.007426,               0.007426
                     28,                0.37237,                0.49589,                0.30554,                0.86916,                0.97081,                0.97672,                 0.9822,                0.93324,                0.97199,                0.97684,                 0.9841,                0.83292,                0.28858,                0.42906,                0.22941,                0.75084,               0.007327,               0.007327,               0.007327
                     29,                0.37304,                0.50349,                0.30726,                0.86982,                0.96996,                0.97655,                0.98437,                0.93275,                0.97819,                0.96503,                0.98505,                0.83649,                0.30079,                0.42786,                 0.2291,                0.75241,               0.007228,               0.007228,               0.007228
                     30,                0.36511,                0.49176,                0.29985,                0.86753,                0.96091,                0.97866,                0.98024,                0.93078,                0.96254,                0.98006,                0.98371,                0.84102,                0.28807,                 0.4218,                0.22529,                0.74713,               0.007129,               0.007129,               0.007129
                     31,                0.36526,                0.49154,                 0.2995,                0.86961,                0.96462,                 0.9793,                0.98151,                0.93482,                0.96635,                0.97981,                0.98474,                0.84106,                0.28594,                0.41733,                0.22095,                0.74857,                0.00703,                0.00703,                0.00703
                     32,                0.36238,                0.49064,                0.29793,                0.86811,                 0.9625,                0.97624,                0.97967,                0.93603,                0.97815,                0.97053,                 0.9844,                0.83929,                0.28184,                0.40688,                0.21826,                0.74973,               0.006931,               0.006931,               0.006931
